"KOD","PLEC","WIEK","RAV","TAO","FIG","CRT_7","FAN_CON","FAN_ELI","RAV_CON","RAV_ELI","TAO_CON","TAO_ELI","FIG_CON","FIG_ELI","FFA/MMA","FMA","FMA_wgl","MMA","MMA_wgl","F/M","F/M_WGL","WGL","WGL_wgl","RAT","RAT_wgl","NFC","REL_1","REL_2","ATEIST","PSEUDO","PARA","CONSP","ST_CLOSE","ST_INT","MC_4","MC_123","CS_LET_4","CS_LET_6","CS_LET_8","ARR_LET_5","ARR_LET_7","ARR_LET_9","TREL_P1","TREL_P2","TREL_L1","TREL_L2"
"91",91,"m",25,17,13,12,5,0,0,31,16,11,27,17,23,"F",6,0,NA,NA,6,0,6,0,10,1,135,40,38,0,53,64,63,19,40,0.333333333333333,0.777777777777778,4,6,5.6,4.33,4.2,5.4,0.96,0.92,5.66075732339146,5.68690118050522
"92",92,"k",19,15,15,9,5,11,29,22,19,17,14,12,11,"F",4,0,NA,NA,4,0,3,1,11,2,166,0,0,1,39,0,1,13,15,0.366666666666667,0.888888888888889,4,5.2,4.8,3.665,6.069,6.597,0.82,0.84,5.08534510857341,5.77443001704786
"93",93,"k",25,13,12,8,5,0,0,18,19,16,20,16,20,"F",3,0,NA,NA,3,0,3,0,9,0,115,0,0,1,13,17,13,18,18,0.366666666666667,0.922222222222222,4,4.2,4.4,2,3.738,4.797,0.96,0.8,7.00915251905354,7.7122766010195
"94",94,"m",30,9,11,10,6,17,20,16,15,16,20,17,16,"M",NA,NA,4,2,4,2,3,0,13,0,142,24,26,0,61,68,63,30,27,0.2,0.833333333333333,4,4.6,4.6,2.665,2.331,2.403,0.74,0.74,6.35810032432649,8.13016831034514
"95",95,"m",25,12,10,5,0,21,22,21,24,21,27,18,28,"M",NA,NA,1,0,1,0,2,0,5,0,128,21,21,0,35,27,55,27,28,0.1,0.0777777777777778,3.4,3.4,2.8,2,1.869,0.603000000000001,0.4,0.4,3.05299526054105,3.2123214123074
"96",96,"m",24,9,9,6,2,12,29,25,21,25,24,21,32,"M",NA,NA,2,0,2,0,2,0,7,0,124,38,34,0,55,64,45,38,30,0.366666666666667,0.844444444444444,3.8,5.6,4,3.67,5.131,6.597,0.92,0.78,6.57022400384892,6.55317833764077
"97",97,"k",20,12,16,11,1,0,0,28,18,25,25,20,25,"F",5,1,NA,NA,5,1,2,0,8,7,146,21,19,1,63,102,88,24,44,0.433333333333333,0.722222222222222,4,3.6,4.2,4,6.062,4.797,0.82,0.8,4.59276473306171,6.21077610840675
"98",98,"k",23,12,8,5,3,16,21,13,24,12,24,12,26,"F",2,0,NA,NA,2,0,1,0,7,1,86,42,36,0,52,44,60,34,37,0.3,0.822222222222222,3.6,3.8,4.4,3,2.331,4.203,0.94,0.78,5.40977807560787,7.72536556889743
"99",99,"k",19,13,11,9,0,0,0,21,19,20,18,15,18,"F",2,0,NA,NA,2,0,2,0,0,0,128,15,1,1,38,71,36,18,37,0.233333333333333,0.733333333333333,3.2,4.2,3.2,-3.335,-6.062,-8.397,0.46,0.26,5.40336677517956,6.06214606502231
"100",100,"m",24,15,16,14,5,6,28,22,15,14,27,15,17,"F",5,3,NA,NA,5,3,6,5,10,9,146,16,30,1,47,63,47,22,35,0.5,0.833333333333333,3.8,5,5.2,4.665,6.062,3.006,0.98,0.86,6.17703057780347,7.41997702399604
"101",101,"k",19,16,16,8,5,17,19,15,22,24,17,23,15,"M",NA,NA,4,4,4,4,3,1,11,6,132,8,6,1,5,0,9,18,19,0.266666666666667,0.933333333333333,4,4.6,6.6,3.665,4.2,4.203,0.92,0.9,4.35292590749,5.50186130269022
"102",102,"k",19,13,14,14,5,15,23,25,15,24,22,24,15,"M",NA,NA,3,0,3,0,3,2,6,0,116,28,25,0,45,24,13,22,31,0.266666666666667,0.311111111111111,3.6,4.4,4.4,3.335,0.469,4.806,0.78,0.78,6.08087976573282,6.62184085675897
"103",103,"k",18,11,12,8,1,0,0,18,17,10,20,11,19,"M",NA,NA,4,0,4,0,3,1,3,0,129,35,37,0,50,9,51,23,23,0.2,0.533333333333333,2.8,4.2,3.8,3,3.731,1.197,0.92,0.8,6.05014782108826,6.45148864235525
"104",104,"k",23,12,14,10,4,10,24,16,28,14,31,25,27,"M",NA,NA,4,0,4,0,5,0,12,4,138,3,15,1,38,22,49,16,39,0.366666666666667,0.833333333333333,4,6,4.6,3,5.131,4.797,0.96,0.9,5.68141072863854,5.75442947291022
"105",105,"k",21,11,13,9,0,0,0,29,15,21,24,17,24,"M",NA,NA,1,0,1,0,0,0,7,4,97,40,34,0,43,8,34,31,30,0.3,0.888888888888889,3.6,1.8,2.8,4.33,3.269,2.394,0.82,0.8,6.37919753513829,6.8458622600115
"106",106,"m",25,14,15,9,5,11,23,28,11,19,19,22,20,"M",NA,NA,6,1,6,1,5,2,9,3,133,10,12,1,56,24,41,23,32,0.6,0.9,4,5.6,7,5,6.531,6.597,0.84,0.84,5.53059958555786,6.96359349865262
"107",107,"k",21,12,11,9,2,9,23,17,20,15,18,11,19,"M",NA,NA,4,0,4,0,3,0,5,0,145,1,0,1,22,4,12,22,25,0.566666666666667,0.755555555555556,4,4.4,4.4,2.665,5.131,5.994,0.74,0.78,7.51498348193459,8.53050404910564
"108",108,"k",20,17,16,14,7,17,21,28,14,21,19,19,25,"M",NA,NA,6,0,6,0,4,0,9,0,132,28,15,0,42,58,40,29,29,0.333333333333333,0.933333333333333,3.8,5.2,7,4.665,5.6,7.2,0.96,0.92,3.44496089762708,3.71761193231956
"109",109,"k",28,16,13,10,3,0,0,29,13,25,15,25,22,"M",NA,NA,4,0,4,0,1,3,11,3,149,29,27,0,48,20,65,29,36,0.533333333333333,0.744444444444444,4,4,3.8,1.67,3.731,1.8,0.78,0.8,6.48894683024205,7.53471979104425
"110",110,"k",20,11,16,11,1,13,20,19,18,17,24,18,20,"M",NA,NA,3,0,3,0,1,1,6,1,136,27,6,0,16,11,27,33,33,0.2,0.855555555555555,3,3.2,3.2,1.665,2.331,-1.197,0.34,0.26,2.64597789989576,2.46093809304062
"111",111,"k",18,8,10,6,1,0,0,27,5,15,11,20,7,"M",NA,NA,2,0,2,0,0,0,8,0,131,2,1,1,27,11,22,43,22,0.2,0.9,2.8,2.4,2,0.67,3.738,4.203,0.3,0.38,1.20787710113967,1.63848521365284
"112",112,"k",22,13,13,10,3,11,19,32,5,13,21,21,14,"F",4,4,NA,NA,4,4,1,0,7,3,157,16,14,0,23,0,5,14,23,0.266666666666667,0.922222222222222,3.2,4.8,5.8,4.665,4.669,5.4,0.94,0.9,6.59951806833298,6.63059571425245
"113",113,"m",26,10,10,6,4,21,17,19,21,22,22,27,25,"F",2,0,NA,NA,2,0,3,0,8,0,NA,2,0,0,64,27,69,43,35,0.333333333333333,0.811111111111111,2.8,4,4.6,3.665,2.331,4.203,0.68,0.56,6.51431689798765,6.87020492151214
"114",114,"k",24,8,5,5,0,0,0,15,21,16,31,16,28,"F",1,2,NA,NA,1,2,1,1,4,5,98,41,39,0,84,78,60,44,37,0.233333333333333,0.322222222222222,2.8,2.8,2.4,-1,-2.331,1.197,0.34,0.24,0.837606667011059,0.424199910242958
"115",115,"k",23,9,13,8,2,26,27,25,26,28,21,27,24,"F",4,0,NA,NA,4,0,1,1,4,4,156,30,22,0,43,21,50,30,22,0.2,0.777777777777778,3.8,5.6,5,4,5.131,3.006,0.86,0.66,7.6831839217414,7.43622309276
"116",116,"k",20,12,12,9,5,0,0,30,10,28,13,24,17,"F",5,0,NA,NA,5,0,4,2,3,0,129,40,30,0,55,20,34,31,24,0.466666666666667,0.866666666666667,4,5.4,5.6,4.335,3.269,4.797,0.88,0.84,6.68666044491932,8.06714407201738
"117",117,"m",20,13,16,14,7,13,19,13,11,24,13,25,11,"F",4,0,NA,NA,4,0,6,3,1,0,168,27,14,0,53,52,46,21,26,0.433333333333333,0.366666666666667,3.8,4.6,3.4,4.335,4.2,4.203,0.96,0.88,6.07758918432812,6.50288992908477
"118",118,"k",18,13,15,15,6,0,0,32,7,25,10,28,8,"F",5,3,NA,NA,5,3,3,3,9,2,147,14,0,1,42,14,56,27,29,0.1,0.911111111111111,3.6,4.8,5.6,2.665,0.931,3.6,0.92,0.76,5.33569599830935,7.59451737878921
"119",119,"k",19,12,16,11,6,16,19,25,19,20,27,26,26,"F",4,0,NA,NA,4,0,3,0,7,0,161,42,38,0,74,60,47,14,31,0.233333333333333,0.9,3.4,5.4,4.6,4.33,6.069,5.4,0.94,0.88,6.72971338093851,7.12333858950841
"120",120,"k",29,15,14,9,2,23,27,32,24,32,23,32,19,"F",5,0,NA,NA,5,0,2,0,7,0,156,37,23,0,58,5,3,34,23,0.366666666666667,0.822222222222222,3.6,2.4,2.2,2.335,0.938000000000001,1.206,0.9,0.82,4.30298158953816,5.42194109121873
"121",121,"m",23,9,11,8,0,0,0,25,8,19,18,21,15,"F",4,0,NA,NA,4,0,4,0,7,7,130,31,9,1,51,17,55,18,30,0.266666666666667,0.855555555555555,3,3.4,4.4,2.67,2.8,5.4,0.72,0.36,7.23404237634583,8.74864626277111
"122",122,"k",23,11,12,14,2,13,25,18,27,20,12,18,25,"F",3,2,NA,NA,3,2,1,1,7,1,153,21,21,0,49,60,33,18,23,0.266666666666667,0.877777777777778,3.2,3.8,3.4,3.67,4.669,2.997,1,0.94,5.5334918792094,5.4564286381166
"123",123,"k",18,14,11,9,3,31,18,21,11,21,16,18,16,"F",2,0,NA,NA,2,0,2,2,9,4,135,23,7,0,53,18,51,24,32,0.466666666666667,0.888888888888889,4,4.8,4.6,3.67,6.062,6.003,0.92,0.88,5.64608045732783,5.86920513871523
"124",124,"m",22,7,7,7,4,12,21,12,18,15,13,17,12,"M",NA,NA,1,0,1,0,1,0,9,2,107,42,34,0,53,50,44,31,27,0.333333333333333,0.855555555555555,3.4,3.2,4,1.335,0.462,1.197,0.54,0.34,3.54016985138863,3.47737123525182
"125",125,"k",18,11,8,8,1,0,0,27,13,27,13,24,14,"M",NA,NA,1,0,1,0,2,0,3,1,120,31,18,0,52,27,29,41,37,0.233333333333333,0.833333333333333,3.4,4,3.4,5,2.338,6.003,0.98,0.88,5.94508732535327,7.03466233507159
"126",126,"k",19,10,13,10,2,0,0,12,29,4,25,17,25,"M",NA,NA,1,0,1,0,2,0,1,0,151,19,0,1,27,79,4,21,25,0.433333333333333,0.955555555555556,3.2,3.6,3.4,1.335,5.131,3.6,0.8,0.72,6.22223408677,7.26131084852733
"127",127,"k",27,14,16,12,5,0,0,24,18,22,19,20,15,"M",NA,NA,5,2,5,2,3,0,6,3,156,4,0,1,47,21,50,20,25,0.266666666666667,0.755555555555556,3.6,4.8,6.6,2.67,2.331,3.6,0.9,0.86,7.39456190761333,7.46061545790046
"128",128,"k",22,7,12,7,0,19,27,28,29,28,28,23,29,"M",NA,NA,2,2,2,2,1,2,1,5,142,36,40,0,55,25,54,39,36,0.233333333333333,0.777777777777778,3.8,5,3.2,1.665,0.938,0,0.48,0.48,6.8731170499075,7.37917944710791
"129",129,"k",19,11,11,12,4,26,23,14,12,19,19,13,18,"M",NA,NA,3,0,3,0,4,0,5,0,102,0,0,0,0,0,0,0,0,0.333333333333333,0.933333333333333,4,5.4,5.2,4,5.131,3.6,0.9,0.88,5.46278395361289,5.81423300533182
"130",130,"m",18,9,10,6,1,19,21,21,21,24,12,22,16,"F",1,0,NA,NA,1,0,2,1,10,3,144,0,0,0,0,0,0,0,0,0.3,0.855555555555555,3.6,4.4,3,3,5.131,6.003,0.4,0.38,2.44798214662304,1.44251446755532
"131",131,"k",20,15,14,10,7,6,26,24,21,18,23,18,22,"F",5,2,NA,NA,5,2,3,1,12,2,146,0,0,0,0,0,0,0,0,0.766666666666667,0.888888888888889,4,5.6,6.6,3.67,4.2,6.003,0.9,0.76,5.07557870815867,6.04510176921316
"132",132,"k",28,17,14,12,5,12,20,21,18,19,19,28,14,"F",5,3,NA,NA,5,3,5,1,8,5,139,0,0,0,0,0,0,0,0,0.366666666666667,0.866666666666667,4,4,6.6,4.665,5.131,5.4,0.88,0.86,6.97342168489864,8.34126646459604
"133",133,"k",35,15,13,11,4,4,32,26,26,11,22,14,29,"F",6,2,NA,NA,6,2,3,3,13,6,131,0,0,0,0,0,0,0,0,0.433333333333333,0.666666666666667,2.2,1.2,4,5,6.069,5.4,0.86,0.54,5.83071349808,6.89072801486333
"134",134,"k",18,10,10,9,5,8,29,26,15,14,19,19,15,"M",NA,NA,5,2,5,2,2,1,5,2,134,0,0,0,0,0,0,0,0,0.366666666666667,0.9,4,4.8,3.8,-1,-0.931,1.197,0.88,0.8,6.98319481025295,7.78256994101625
"135",135,"m",20,17,15,8,5,4,30,32,16,23,11,27,14,"M",NA,NA,5,4,5,4,4,0,9,4,146,7,6,1,9,4,24,22,18,0.5,0.788888888888889,4,6,5,3.335,5.138,5.4,0.8,0.8,5.538778673181,7.260646716658
"136",136,"k",23,13,15,6,6,8,25,27,14,22,12,10,24,"F",3,0,NA,NA,3,0,4,0,9,2,131,36,25,0,41,30,66,25,32,0.3,0.855555555555555,3,4,3.6,2,3.269,2.997,0.46,0.6,3.35548981184139,3.56215083324037
"137",137,"k",27,14,16,12,6,0,0,31,7,13,24,22,10,"F",6,5,NA,NA,6,5,6,4,13,11,152,6,0,1,0,6,11,14,19,0.4,0.833333333333333,4,6,7.2,4.665,6.531,4.806,0.98,0.94,5.95563983600816,7.60897828658915
"138",138,"k",34,11,13,10,4,0,0,6,15,17,13,20,21,"M",NA,NA,6,0,6,0,6,1,13,11,84,0,5,1,23,9,29,32,18,0.433333333333333,0.811111111111111,4,4.8,4,3,4.2,3.6,0.54,0.56,6.67093627263815,6.28575173990179
"139",139,"m",20,15,10,7,5,7,24,28,8,24,17,15,23,"M",NA,NA,3,0,3,0,2,0,4,6,128,9,7,1,6,0,0,16,25,0.366666666666667,0.544444444444444,4,6,5.6,2.67,2.331,3.6,0.74,0.74,6.13562206205297,6.57915454904135
"140",140,"k",24,3,6,5,1,21,14,10,21,13,21,18,13,"M",NA,NA,4,0,4,0,2,0,5,5,129,40,34,0,65,17,54,16,22,0.2,0.766666666666667,3,2.8,3.2,0.33,0,0,0.3,0.28,2.602689184188,2.98374471887593
"141",141,"k",23,14,14,10,7,0,0,28,8,22,19,24,19,"M",NA,NA,4,0,4,0,3,3,3,2,101,1,6,1,8,3,22,19,24,0.633333333333333,0.111111111111111,2.2,3.6,3.8,3.33,3.269,2.997,0.88,0.84,4.57237830675091,6.87750350584809
"142",142,"k",29,12,10,8,4,21,20,24,10,26,7,17,9,"M",NA,NA,2,2,2,2,4,3,13,8,145,18,0,0,23,53,29,26,17,0.333333333333333,0.6,3.6,4.2,4.4,5,5.6,4.797,0.9,0.84,5.93177879595155,6.13052083878309
"143",143,"k",22,15,15,12,5,0,0,23,13,17,23,14,22,"F",3,3,NA,NA,3,3,2,1,10,8,132,30,20,0,67,17,70,36,30,0.5,0.833333333333333,4,4.2,5,4,3.738,3.6,0.92,0.94,5.00555265769522,5.76971548576042
"144",144,"k",22,11,15,7,4,17,30,23,26,19,26,25,25,"F",4,5,NA,NA,4,5,5,4,9,7,117,40,34,0,44,9,14,35,34,0.4,0.866666666666667,3.6,5.2,3.8,4,2.331,2.394,0.98,0.96,4.31165959680571,5.57042844300354
"145",145,"k",26,15,16,9,2,20,15,24,14,27,21,30,18,"F",5,3,NA,NA,5,3,5,3,9,6,124,11,0,1,29,16,54,24,33,0.366666666666667,0.711111111111111,3.2,4.4,6.4,4.665,4.2,3.6,0.8,0.66,5.05153080647375,6.28991322051697
"146",146,"k",22,11,14,5,4,26,18,28,17,23,18,22,14,"F",4,4,NA,NA,4,4,3,3,6,5,130,25,18,0,60,52,46,14,20,0.1,0.844444444444444,1.2,3.2,3.8,1.665,4.2,3.6,0.88,0.72,5.15505522092614,6.33586458639333
"147",147,"k",20,6,12,6,1,0,0,29,9,26,13,17,22,"F",1,1,NA,NA,1,1,3,2,10,0,110,1,0,1,39,5,46,20,32,0.266666666666667,0.877777777777778,3,3.4,5,4,1.869,1.8,0.86,0.72,5.89488666733956,6.72788147227
"148",148,"k",20,13,12,10,2,14,19,17,15,14,20,17,17,"M",NA,NA,5,1,5,1,2,0,6,2,138,27,23,0,62,58,58,29,26,0.566666666666667,0.844444444444444,4,4.4,4.6,5,5.6,4.797,0.92,0.88,6.04075708376174,6.28280646221772
"149",149,"k",20,10,11,3,4,7,23,7,15,9,15,8,15,"M",NA,NA,2,0,2,0,3,2,12,0,114,39,19,0,58,34,30,28,26,0.333333333333333,0.911111111111111,2.6,3.4,3.8,0.33,0.462,2.997,0.92,0.64,6.67763117475152,8.04243575142719
"150",150,"m",26,11,13,11,4,19,26,18,23,20,26,20,24,"M",NA,NA,4,1,4,1,0,0,5,0,115,42,29,0,61,42,51,32,26,0.4,0.922222222222222,2.4,3.2,3,2.665,3.269,3.6,0.88,0.88,6.97476110413841,7.73199252301136
"151",151,"k",27,17,17,9,5,0,0,29,6,22,16,22,13,"F",5,0,NA,NA,5,0,4,0,13,1,135,26,15,1,38,40,59,23,25,0.666666666666667,0.866666666666667,4,5.2,4,5,5.6,6.003,0.98,1,5.75700531940979,6.5461448484082
"152",152,"k",22,14,14,9,4,21,25,25,16,21,17,22,16,"F",4,2,NA,NA,4,2,5,1,10,2,154,29,28,0,32,16,27,18,24,0.5,0.9,3.8,4,2.4,3.665,3.731,1.8,0.94,0.9,6.78274815966979,7.47883494644889
"153",153,"k",25,11,10,9,2,0,0,17,15,13,19,14,18,"F",4,3,NA,NA,4,3,3,0,9,2,119,24,8,0,57,58,52,24,35,0.266666666666667,0.833333333333333,3.6,4.8,4.4,4,4.2,5.994,0.8,0.84,6.7559987024,7.2977993715431
"154",154,"m",20,13,17,10,4,15,28,23,20,12,29,21,26,"F",4,5,NA,NA,4,5,5,1,11,6,151,37,30,0,54,23,35,38,29,0.533333333333333,0.933333333333333,4,5.4,8,3,5.6,3.6,0.94,0.96,5.3538346805949,5.89959828192104
"155",155,"m",35,9,10,7,0,11,19,20,17,16,17,17,18,"F",1,0,NA,NA,1,0,4,0,5,0,113,11,11,0,38,55,42,29,32,0.233333333333333,0.7,3.4,5.4,6,1.335,0.938,3.6,0.72,0.62,5.60381740725611,7.55315021265226
"156",156,"k",24,12,9,7,0,0,0,27,13,18,21,16,22,"M",NA,NA,2,2,2,2,2,2,7,3,142,16,10,0,57,53,54,32,30,0.2,0.866666666666667,3,4.4,2.2,2,2.8,-2.394,0.82,0.72,6.74800495421098,8.35916173882472
"157",157,"m",21,14,13,13,6,7,13,28,6,25,11,17,14,"M",NA,NA,6,4,6,4,4,2,3,0,161,17,0,0,15,45,63,27,22,0.3,0.833333333333333,4,5.8,5.4,4.335,6.069,7.2,0.92,0.98,5.43991050526957,5.99824286446388
"158",158,"k",20,9,10,6,2,0,0,5,26,26,20,18,26,"M",NA,NA,5,3,5,3,4,2,11,7,133,16,4,0,62,19,22,20,32,0.2,0.811111111111111,1.2,1.2,1.8,4,4.2,3.6,0.84,0.78,4.88360111704405,7.3480309352741
"159",159,"k",23,13,15,9,3,13,25,19,16,22,14,22,18,"M",NA,NA,5,6,5,6,6,4,8,7,131,8,5,0,38,12,9,19,39,0.4,0.733333333333333,4,4.8,5.4,3.665,6.062,7.803,0.62,0.74,6.1946894760171,6.10414076723162
"160",160,"k",20,5,11,5,1,12,20,19,22,14,20,12,22,"M",NA,NA,2,0,2,0,0,0,4,0,112,28,21,0,67,18,13,31,29,0.233333333333333,0.744444444444444,2.6,4,3.6,2.665,2.8,1.8,0.38,0.36,3.27771124000574,3.32573044143661
"161",161,"k",34,15,16,12,5,0,0,32,4,32,5,32,4,"M",NA,NA,6,4,6,4,6,5,10,6,125,42,37,0,49,39,40,31,24,0.333333333333333,0.855555555555555,4,5.8,8,3.665,5.6,5.994,0.98,0.96,4.86914059921531,5.69119910538021
"162",162,"k",18,10,9,9,1,16,27,26,21,19,22,22,19,"M",NA,NA,5,0,5,0,1,0,1,0,167,6,1,1,72,12,33,34,27,0.433333333333333,0.855555555555555,2.8,3.2,2.6,3.33,0.931,3.6,0.62,0.52,5.08523268675129,5.91485877246
"163",163,"m",40,11,11,7,2,16,20,16,19,13,23,13,23,"M",NA,NA,5,3,5,3,2,3,3,0,115,29,22,0,48,36,42,35,37,0.166666666666667,0.9,3.4,1.8,2.4,1.665,0,3.006,0.32,0.34,1.26835596843062,1.42122523853147
"164",164,"k",21,15,15,9,4,22,20,32,12,32,5,21,21,"M",NA,NA,3,3,3,3,4,0,5,4,145,3,16,0,54,52,36,24,33,0.2,0.844444444444444,3.2,3.6,3.6,4.33,2.331,2.997,0.9,0.8,6.44156888284867,6.16424529176175
"165",165,"k",20,10,14,10,7,12,17,28,13,17,24,29,6,"M",NA,NA,4,2,4,2,4,3,6,2,149,21,1,1,20,0,33,12,31,0.166666666666667,0.711111111111111,3.8,4.8,4.4,3.665,4.669,3.6,0.92,0.78,6.37450135966283,7.49670283783667
"166",166,"k",21,13,12,7,2,18,18,16,22,14,22,25,13,"M",NA,NA,4,2,4,2,2,0,8,7,108,13,7,1,48,45,56,32,34,0.333333333333333,0.6,3.6,3.4,3,2.33,3.269,4.797,0.64,0.64,4.64214822472681,5.88595744832537
"167",167,"m",20,9,16,7,0,0,0,17,18,14,20,12,22,"F",4,3,NA,NA,4,3,0,1,5,4,113,27,24,0,56,43,45,36,38,0.166666666666667,0.7,3,2.8,4,2,1.4,1.197,0.42,0.32,1.72837286468047,1.65063524356285
"168",168,"m",37,6,4,1,0,15,24,19,14,15,18,11,27,"F",3,0,NA,NA,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.822222222222222,1.8,2.4,1.2,1.335,0,4.9960036108132e-16,0.4,0.5,5.48298438840145,7.6862034479004
"169",169,"m",24,14,14,10,6,28,29,27,29,28,28,27,28,"F",5,5,NA,NA,5,5,3,0,7,1,148,41,37,0,48,27,59,45,36,0.266666666666667,0.7,3.4,4.8,5.4,4.335,1.869,4.806,0.54,0.6,5.75857583248148,6.56028868628547
"170",170,"k",20,12,14,11,3,17,23,22,17,26,18,20,19,"F",4,4,NA,NA,4,4,0,0,1,8,143,22,22,0,56,37,44,36,40,0.333333333333333,0.722222222222222,2.6,4.2,4.2,2.335,0.938000000000001,4.203,0.88,0.76,5.90186420786886,6.76709957001552
"171",171,"k",22,16,15,14,6,4,23,31,4,12,27,23,12,"F",5,2,NA,NA,5,2,3,2,7,4,136,32,34,0,30,10,3,23,19,0.566666666666667,0.922222222222222,4,5.6,5.8,4.665,3.738,4.194,0.96,0.92,5.07929420684583,6.19730075852848
"172",172,"k",24,13,10,8,2,13,26,24,7,11,29,22,17,"F",3,2,NA,NA,3,2,2,3,7,8,134,42,26,0,93,58,50,21,35,0.333333333333333,0.888888888888889,3.8,3.6,3.6,4.665,5.131,5.4,0.24,0.44,6.84934411056083,7.43385717079682
"173",173,"m",28,10,13,9,0,24,8,20,9,24,7,25,17,"F",4,0,NA,NA,4,0,1,0,7,0,154,24,30,1,83,87,81,24,28,0.166666666666667,0.911111111111111,3.8,3.6,4.4,4.335,3.731,5.994,0.44,0.38,6.65510436160091,6.58131832191474
"174",174,"k",21,17,16,12,5,11,23,29,10,22,12,11,25,"F",5,1,NA,NA,5,1,5,1,15,0,137,16,4,1,36,24,43,19,24,0.333333333333333,0.755555555555556,3.6,5.4,6.6,4.665,5.6,2.403,0.98,0.94,5.5188364880198,6.8500186340866
"175",175,"k",34,11,9,11,0,23,24,23,21,21,18,25,25,"F",2,2,NA,NA,2,2,1,0,6,0,122,8,7,1,52,65,64,29,33,0.333333333333333,0.844444444444444,3.4,1.4,3.2,3,2.8,4.9960036108132e-16,0.3,0.5,2.5377736997638,2.32266129497792
"176",176,"m",27,18,18,16,7,0,0,32,13,32,18,31,15,"F",5,2,NA,NA,5,2,5,2,10,4,133,14,18,0,16,10,43,27,30,0.4,0.966666666666667,3.4,4.8,6.6,4.665,6.531,5.994,0.94,0.94,6.64706874255723,6.45739436743596
"177",177,"k",29,9,9,6,1,20,28,25,21,21,27,25,27,"M",NA,NA,0,0,0,0,0,1,6,1,137,8,15,0,61,8,62,29,39,0,0.833333333333333,4,3.8,4,4.33,5.131,3.6,0.46,0.56,7.70472782717261,7.78913801876464
"178",178,"k",23,12,14,9,1,4,16,32,6,14,17,19,16,"M",NA,NA,4,3,4,3,0,0,5,1,117,17,5,0,57,21,61,46,40,0.333333333333333,0.677777777777778,2,3.6,2.2,2.335,2.8,2.997,0.72,0.58,5.494999907884,7.02814443167793
"179",179,"k",25,12,14,12,4,0,0,18,22,21,23,16,21,"M",NA,NA,3,2,3,2,3,1,10,4,128,34,18,0,48,35,45,33,25,0.166666666666667,0.855555555555555,2.8,4.2,4.6,3.33,4.2,2.403,0.86,0.78,6.37753696973,7.68687146366051
"180",180,"k",32,13,14,10,3,20,24,19,20,21,14,19,17,"M",NA,NA,3,2,3,2,3,3,8,4,134,41,26,0,44,39,51,26,29,0.233333333333333,0.877777777777778,3.2,4.8,5.4,3.665,4.669,4.203,0.92,0.84,5.29191593802478,6.31763600288453
"181",181,"m",20,17,15,8,7,23,17,28,8,27,9,24,9,"M",NA,NA,5,2,5,2,5,2,10,3,135,8,7,1,37,24,28,20,20,0.266666666666667,0.888888888888889,3.2,5.6,4,3.335,3.731,1.197,0.84,0.68,5.77541615425048,6.97283014652706
"182",182,"k",29,16,16,11,6,0,0,31,6,19,18,26,13,"F",5,2,NA,NA,5,2,5,0,7,1,142,38,31,0,54,44,62,23,35,0.6,0.688888888888889,3.8,4.8,3.8,2,3.88578058618805e-16,1.8,0.9,0.86,6.314338155702,6.45485742442116
