ID,TIME,FEEDBACK,N_FIGURES,TRIAL,SELECTED,RS,ACCURACY,LATENCY
10,45,1,2,training,D0,0,0,
10,45,1,2,training,D1,25,0,
10,60,0,4,experiment,D4,87,0,26.8188726
10,60,0,3,experiment,D2,33,0,34.780132
10,60,0,4,experiment,D2,25,0,48.6127634
10,60,0,2,experiment,D1,25,0,42.8462706
10,60,0,4,experiment,D5,100,1,41.5721352
10,60,0,3,experiment,D4,83,0,33.082429
10,60,0,3,experiment,D3,75,0,29.8754947
10,60,0,3,experiment,D4,83,0,
10,60,0,2,experiment,D5,100,1,36.4883303
10,60,0,4,experiment,D2,25,0,
10,60,0,2,experiment,D4,75,0,44.7404977
10,60,0,4,experiment,D2,25,0,
10,60,0,2,experiment,D0,0,0,
10,60,0,3,experiment,D0,0,0,
10,60,0,2,experiment,D4,75,0,14.2208439
10,60,0,2,experiment,D1,25,0,13.4543959
10,60,0,3,experiment,D3,75,0,
10,60,0,4,experiment,D4,87,0,
12,45,1,2,training,NO,,0,
12,45,1,2,training,D0,0,0,
12,60,0,4,experiment,D2,25,0,34.2174204
12,60,0,2,experiment,NO,,0,
12,60,0,2,experiment,D4,75,0,46.6899466
12,60,0,4,experiment,D4,87,0,25.9777531
12,60,0,3,experiment,D4,83,0,19.6202621
12,60,0,4,experiment,D1,12,0,18.6607053
12,60,0,2,experiment,D4,75,0,33.7803253
12,60,0,2,experiment,D1,25,0,21.3031042
12,60,0,3,experiment,D4,83,0,54.5579271
12,60,0,3,experiment,D2,33,0,11.4545146
12,60,0,4,experiment,D2,25,0,
12,60,0,2,experiment,D3,63,0,
12,60,0,2,experiment,D5,100,0,
12,60,0,4,experiment,D3,81,0,
12,60,0,3,experiment,D2,33,0,
12,60,0,4,experiment,D2,25,0,17.4236377
12,60,0,3,experiment,D0,0,0,
12,60,0,3,experiment,D2,33,0,13.2915544
13,45,1,2,training,D1,25,0,
13,45,1,2,training,D4,75,0,
13,60,0,2,experiment,D2,50,0,
13,60,0,2,experiment,D2,50,0,
13,60,0,3,experiment,D2,33,0,54.9207756
13,60,0,2,experiment,D2,50,0,
13,60,0,4,experiment,D5,100,0,
13,60,0,4,experiment,D4,87,0,
13,60,0,2,experiment,D1,25,0,44.7544114
13,60,0,3,experiment,D2,33,0,
13,60,0,3,experiment,D5,100,1,31.6869886
13,60,0,4,experiment,D5,100,1,35.8133927
13,60,0,2,experiment,D5,100,1,26.4681327
13,60,0,3,experiment,D4,83,0,42.2818513
13,60,0,4,experiment,D5,100,1,13.5988135
13,60,0,4,experiment,D4,87,0,17.4092977
13,60,0,3,experiment,D4,83,0,10.7368437
13,60,0,4,experiment,D5,100,0,
13,60,0,2,experiment,D0,0,0,13.1864691
13,60,0,3,experiment,D4,83,0,
14,45,1,2,training,D4,75,0,
14,45,1,2,training,D1,25,0,
14,60,0,3,experiment,D5,100,1,55.0676156
14,60,0,2,experiment,D3,63,0,47.7308736
14,60,0,4,experiment,D0,0,0,44.1240832
14,60,0,4,experiment,D1,12,0,47.941348
14,60,0,2,experiment,D1,25,0,37.7140602
14,60,0,3,experiment,D2,33,0,19.0741896
14,60,0,3,experiment,D3,75,0,18.5249704
14,60,0,4,experiment,D1,12,0,18.2701466
14,60,0,4,experiment,D1,12,0,
14,60,0,2,experiment,D1,25,0,
14,60,0,3,experiment,D5,100,1,11.2472661
14,60,0,2,experiment,D1,25,0,11.3473224
14,60,0,3,experiment,D1,16,0,
14,60,0,3,experiment,D2,33,0,
14,60,0,2,experiment,D2,50,0,
14,60,0,2,experiment,D3,63,0,24.8308907
14,60,0,4,experiment,D5,100,0,
14,60,0,4,experiment,D4,87,0,10.1422254
15,45,1,2,training,NO,,0,
15,45,1,2,training,D3,63,0,
15,60,0,3,experiment,D3,75,0,30.584611
15,60,0,3,experiment,D3,75,0,31.9843186
15,60,0,2,experiment,D2,50,0,29.9264461
15,60,0,3,experiment,D5,100,1,28.0088755
15,60,0,3,experiment,D0,0,0,27.8304383
15,60,0,3,experiment,D2,33,0,30.9248002
15,60,0,2,experiment,D2,50,0,26.3365243
15,60,0,2,experiment,D0,0,0,33.4570753
15,60,0,4,experiment,D1,12,0,14.6439989
15,60,0,4,experiment,D1,12,0,16.827167
15,60,0,2,experiment,D2,50,0,27.9989532
15,60,0,4,experiment,D2,25,0,14.0723281
15,60,0,4,experiment,D5,100,1,17.1312471
15,60,0,4,experiment,D5,100,1,28.1597356
15,60,0,2,experiment,D4,75,0,26.7072469
15,60,0,4,experiment,D0,0,0,36.7297448
15,60,0,3,experiment,D5,100,1,28.1692038
15,60,0,2,experiment,D2,50,0,23.4297035
16,45,1,2,training,D2,50,0,
16,45,1,2,training,D0,0,0,
16,60,0,4,experiment,D5,100,1,47.0566588
16,60,0,3,experiment,D5,100,1,43.8127015
16,60,0,4,experiment,D0,0,0,48.8675006
16,60,0,3,experiment,D5,100,1,53.2318232
16,60,0,2,experiment,D5,100,1,48.0545575
16,60,0,4,experiment,D5,100,1,45.7457001
16,60,0,4,experiment,D1,12,0,35.4622936
16,60,0,2,experiment,D4,75,0,49.2377923
16,60,0,2,experiment,D1,25,0,50.0407849
16,60,0,4,experiment,D5,100,1,21.831459
16,60,0,4,experiment,D5,100,1,34.6106692
16,60,0,3,experiment,D0,0,0,43.9496015
16,60,0,2,experiment,D0,0,0,18.0622543
16,60,0,3,experiment,D4,83,0,24.6066472
16,60,0,2,experiment,D5,100,1,25.9657644
16,60,0,3,experiment,D5,100,1,12.0537144
16,60,0,2,experiment,D3,63,0,16.1871862
16,60,0,3,experiment,D4,83,0,29.0694402
17,45,1,2,training,NO,,0,
17,45,1,2,training,NO,,0,
17,60,0,2,experiment,D0,0,0,54.176551
17,60,0,4,experiment,D3,81,0,54.2530926
17,60,0,3,experiment,D1,16,0,49.8146816
17,60,0,3,experiment,D4,83,0,47.4414007
17,60,0,3,experiment,D1,16,0,53.154409
17,60,0,4,experiment,NO,,0,
17,60,0,4,experiment,D3,81,0,49.8407072
17,60,0,3,experiment,D5,100,1,55.6809425
17,60,0,2,experiment,D2,50,0,54.5976243
17,60,0,2,experiment,NO,,0,
17,60,0,3,experiment,D3,75,0,45.5777472
17,60,0,2,experiment,D0,0,0,40.1611475
17,60,0,4,experiment,D2,25,0,25.0664741
17,60,0,2,experiment,D5,100,1,25.6863751
17,60,0,3,experiment,D3,75,0,35.0040753
17,60,0,4,experiment,D1,12,0,24.7377289
17,60,0,2,experiment,D4,75,0,29.3388371
17,60,0,4,experiment,D2,25,0,19.3030648
18,45,1,2,training,D5,100,1,
18,45,1,2,training,D2,50,0,
18,60,0,3,experiment,D3,75,0,13.5500097
18,60,0,2,experiment,D3,63,0,
18,60,0,4,experiment,D4,87,0,21.2902276
18,60,0,4,experiment,D4,87,0,32.1754596
18,60,0,2,experiment,D2,50,0,25.7139285
18,60,0,2,experiment,D4,75,0,19.2922067
18,60,0,2,experiment,D0,0,0,46.2742254
18,60,0,2,experiment,D2,50,0,
18,60,0,3,experiment,D2,33,0,24.9210104
18,60,0,3,experiment,D3,75,0,27.6234131
18,60,0,4,experiment,D1,12,0,16.6437267
18,60,0,4,experiment,D2,25,0,26.8966103
18,60,0,4,experiment,D2,25,0,34.795615
18,60,0,3,experiment,D4,83,0,37.4891897
18,60,0,3,experiment,D1,16,0,12.5933213
18,60,0,4,experiment,D4,87,0,36.8532278
18,60,0,2,experiment,D2,50,0,12.0707001
18,60,0,3,experiment,D5,100,1,36.1365906
20,45,1,2,training,D0,0,0,
20,45,1,2,training,D1,25,0,
20,60,0,3,experiment,D5,100,0,
20,60,0,2,experiment,D4,75,0,
20,60,0,4,experiment,D5,100,0,
20,60,0,2,experiment,D4,75,0,
20,60,0,4,experiment,D5,100,0,
20,60,0,4,experiment,D1,12,0,
20,60,0,3,experiment,D2,33,0,
20,60,0,4,experiment,D1,12,0,
20,60,0,3,experiment,D4,83,0,31.3217789
20,60,0,2,experiment,D2,50,0,47.4392978
20,60,0,2,experiment,D2,50,0,45.8659003
20,60,0,2,experiment,D5,100,1,46.9768539
20,60,0,2,experiment,D5,100,1,30.8163355
20,60,0,3,experiment,D5,100,1,22.8144606
20,60,0,3,experiment,D4,83,0,16.0086622
20,60,0,4,experiment,D0,0,0,14.9318291
20,60,0,4,experiment,D5,100,1,20.2374756
20,60,0,3,experiment,D4,83,0,21.2906722
21,45,1,2,training,D2,50,0,
21,45,1,2,training,D0,0,0,
21,60,0,4,experiment,D0,0,0,11.1477
21,60,0,4,experiment,D0,0,0,10.3420622
21,60,0,3,experiment,D0,0,0,
21,60,0,2,experiment,D1,25,0,20.6457091
21,60,0,4,experiment,D1,12,0,14.4952315
21,60,0,2,experiment,D1,25,0,19.6540126
21,60,0,3,experiment,D0,0,0,31.745919
21,60,0,2,experiment,D0,0,0,
21,60,0,2,experiment,D0,0,0,15.1672068
21,60,0,3,experiment,D0,0,0,26.2499249
21,60,0,3,experiment,D0,0,0,27.5591021
21,60,0,3,experiment,D4,83,0,25.4584044
21,60,0,4,experiment,D1,12,0,17.7012057
21,60,0,4,experiment,D2,25,0,22.5334707
21,60,0,4,experiment,D1,12,0,12.795765
21,60,0,2,experiment,D0,0,0,40.8706626
21,60,0,3,experiment,D1,16,0,31.2505397
21,60,0,2,experiment,D1,25,0,22.0372889
22,45,1,2,training,D1,25,0,
22,45,1,2,training,D0,0,0,
22,60,0,4,experiment,NO,,0,
22,60,0,4,experiment,NO,,0,
22,60,0,4,experiment,D3,81,0,52.2512364
22,60,0,4,experiment,D5,100,1,44.6803121
22,60,0,3,experiment,D5,100,1,52.5868893
22,60,0,3,experiment,D4,83,0,41.0683241
22,60,0,2,experiment,NO,,0,
22,60,0,3,experiment,D2,33,0,58.1077101
22,60,0,3,experiment,D4,83,0,55.4497004
22,60,0,3,experiment,D5,100,1,53.9440441
22,60,0,3,experiment,D4,83,0,49.6356314
22,60,0,2,experiment,D3,63,0,54.2129078
22,60,0,2,experiment,D5,100,1,28.0775383
22,60,0,2,experiment,D2,50,0,39.5703579
22,60,0,2,experiment,D1,25,0,46.7503992
22,60,0,4,experiment,D4,87,0,25.8472204
22,60,0,4,experiment,D3,81,0,36.2055909
22,60,0,2,experiment,D1,25,0,18.1699996
23,45,1,2,training,NO,,0,
23,45,1,2,training,NO,,0,
23,60,0,4,experiment,NO,,0,
23,60,0,3,experiment,NO,,0,
23,60,0,2,experiment,D3,63,0,42.0412526
23,60,0,3,experiment,D4,83,0,28.6149367
23,60,0,3,experiment,D5,100,1,46.9707808
23,60,0,3,experiment,D4,83,0,22.8068845
23,60,0,2,experiment,D5,100,1,45.256244
23,60,0,4,experiment,D5,100,1,46.1445157
23,60,0,3,experiment,D4,83,0,58.0416086
23,60,0,2,experiment,D3,63,0,53.1566082
23,60,0,2,experiment,D5,100,1,31.7879544
23,60,0,4,experiment,D0,0,0,41.4467851
23,60,0,4,experiment,D3,81,0,26.0516274
23,60,0,4,experiment,D3,81,0,37.6367131
23,60,0,4,experiment,D3,81,0,35.675899
23,60,0,2,experiment,D5,100,1,23.4572849
23,60,0,2,experiment,D5,100,1,23.3631904
23,60,0,3,experiment,D0,0,0,26.8930099
24,45,1,2,training,D1,25,0,
24,45,1,2,training,D0,0,0,
24,60,0,4,experiment,D3,81,0,47.7919633
24,60,0,2,experiment,D4,75,0,20.0398601
24,60,0,4,experiment,D1,12,0,51.5677531
24,60,0,3,experiment,D5,100,1,33.9580415
24,60,0,4,experiment,D4,87,0,11.538812
24,60,0,2,experiment,D4,75,0,24.5469815
24,60,0,2,experiment,D4,75,0,35.1955966
24,60,0,4,experiment,D1,12,0,27.0038155
24,60,0,3,experiment,D2,33,0,42.5275515
24,60,0,3,experiment,D1,16,0,16.3841881
24,60,0,3,experiment,D2,33,0,15.7719691
24,60,0,4,experiment,D4,87,0,21.040321
24,60,0,2,experiment,D2,50,0,34.2147739
24,60,0,3,experiment,D5,100,1,22.8830627
24,60,0,2,experiment,D4,75,0,34.7289802
24,60,0,2,experiment,D3,63,0,
24,60,0,3,experiment,D1,16,0,18.0768418
24,60,0,4,experiment,D4,87,0,16.1572175
25,45,1,2,training,D1,25,0,
25,45,1,2,training,NO,,0,
25,60,0,2,experiment,D3,63,0,
25,60,0,2,experiment,D5,100,1,32.3307311
25,60,0,4,experiment,NO,,0,
25,60,0,2,experiment,D4,75,0,40.3715296
25,60,0,4,experiment,D3,81,0,45.2471268
25,60,0,2,experiment,D2,50,0,
25,60,0,2,experiment,D5,100,1,19.8055662
25,60,0,3,experiment,D3,75,0,30.4349705
25,60,0,3,experiment,D2,33,0,
25,60,0,2,experiment,D5,100,1,22.2965224
25,60,0,3,experiment,D5,100,1,53.127407
25,60,0,3,experiment,D4,83,0,30.5356771
25,60,0,4,experiment,D4,87,0,56.0882718
25,60,0,3,experiment,NO,,0,
25,60,0,4,experiment,D4,87,0,50.933445
25,60,0,4,experiment,D5,100,1,46.7241914
25,60,0,3,experiment,D0,0,0,
25,60,0,4,experiment,D0,0,0,
28,45,1,2,training,NO,,0,
28,45,1,2,training,D1,25,0,
28,60,0,3,experiment,D5,100,1,53.99192
28,60,0,4,experiment,D1,12,0,31.275708
28,60,0,2,experiment,D3,63,0,48.9787444
28,60,0,3,experiment,D3,75,0,31.7334432
28,60,0,4,experiment,D4,87,0,25.5657044
28,60,0,3,experiment,D1,16,0,24.1769888
28,60,0,2,experiment,D5,100,1,34.5054961
28,60,0,3,experiment,D3,75,0,24.2393764
28,60,0,4,experiment,D0,0,0,36.0259309
28,60,0,2,experiment,D1,25,0,
28,60,0,4,experiment,D1,12,0,22.0591096
28,60,0,4,experiment,D0,0,0,
28,60,0,3,experiment,D3,75,0,10.2039251
28,60,0,4,experiment,D4,87,0,13.1689934
28,60,0,2,experiment,D5,100,0,
28,60,0,2,experiment,D5,100,1,13.1110445
28,60,0,2,experiment,D1,25,0,25.9675275
28,60,0,3,experiment,D0,0,0,
29,45,1,2,training,D3,63,0,
29,45,1,2,training,D5,100,1,
29,60,0,2,experiment,D2,50,0,57.3231387
29,60,0,2,experiment,D4,75,0,
29,60,0,4,experiment,D5,100,1,55.7139239
29,60,0,3,experiment,D3,75,0,
29,60,0,4,experiment,D3,81,0,48.7930168
29,60,0,3,experiment,D5,100,1,57.0484414
29,60,0,4,experiment,D4,87,0,47.3668075
29,60,0,3,experiment,D3,75,0,58.2594947
29,60,0,3,experiment,D5,100,1,58.3143524
29,60,0,3,experiment,D3,75,0,40.8107637
29,60,0,2,experiment,D5,100,1,34.9603081
29,60,0,4,experiment,D1,12,0,38.6368782
29,60,0,4,experiment,D0,0,0,52.4536925
29,60,0,2,experiment,D4,75,0,58.9122769
29,60,0,2,experiment,D4,75,0,34.743266
29,60,0,3,experiment,D2,33,0,48.0228706
29,60,0,4,experiment,D5,100,1,58.0288902
29,60,0,2,experiment,D4,75,0,50.9587141
30,45,1,2,training,D5,100,0,
30,45,1,2,training,D4,75,0,
30,60,0,3,experiment,D5,100,1,21.6698137
30,60,0,3,experiment,D1,16,0,51.6297519
30,60,0,2,experiment,D4,75,0,51.6489031
30,60,0,3,experiment,D5,100,1,34.5341824
30,60,0,4,experiment,D2,25,0,35.0036583
30,60,0,4,experiment,D1,12,0,46.6221905
30,60,0,3,experiment,D1,16,0,54.6530457
30,60,0,2,experiment,D1,25,0,54.0230244
30,60,0,2,experiment,D1,25,0,44.9611056
30,60,0,4,experiment,D1,12,0,51.8868081
30,60,0,2,experiment,D0,0,0,43.6315104
30,60,0,4,experiment,D2,25,0,48.0112778
30,60,0,2,experiment,D0,0,0,42.6444125
30,60,0,4,experiment,D2,25,0,50.1869016
30,60,0,3,experiment,D0,0,0,52.9292842
30,60,0,2,experiment,D1,25,0,47.2944596
30,60,0,3,experiment,D0,0,0,22.0634229
30,60,0,4,experiment,D5,100,1,21.919041
31,45,1,2,training,D2,50,0,
31,45,1,2,training,D3,63,0,
31,60,0,4,experiment,D3,81,0,44.9346714
31,60,0,3,experiment,D3,75,0,52.7798235
31,60,0,3,experiment,D5,100,1,42.0066121
31,60,0,2,experiment,D4,75,0,33.598627
31,60,0,3,experiment,D0,0,0,57.2705221
31,60,0,2,experiment,D0,0,0,32.7696782
31,60,0,2,experiment,D4,75,0,20.856764
31,60,0,3,experiment,D4,83,0,43.1814979
31,60,0,3,experiment,D4,83,0,31.101606
31,60,0,4,experiment,D5,100,1,51.8509152
31,60,0,4,experiment,D3,81,0,38.4444061
31,60,0,4,experiment,D3,81,0,56.2145968
31,60,0,4,experiment,D3,81,0,47.4684375
31,60,0,2,experiment,D5,100,1,57.8582338
31,60,0,2,experiment,D3,63,0,30.0557281
31,60,0,3,experiment,D5,100,1,33.954286
31,60,0,2,experiment,D2,50,0,17.1555682
31,60,0,4,experiment,D3,81,0,
32,45,1,2,training,NO,,0,
32,45,1,2,training,NO,,0,
32,60,0,2,experiment,NO,,0,
32,60,0,2,experiment,D3,63,0,58.2410742
32,60,0,2,experiment,NO,,0,
32,60,0,2,experiment,NO,,0,
32,60,0,4,experiment,D5,100,0,
32,60,0,3,experiment,D0,0,0,55.4160103
32,60,0,3,experiment,NO,,0,
32,60,0,2,experiment,D0,0,0,58.0670556
32,60,0,3,experiment,NO,,0,
32,60,0,4,experiment,D1,12,0,49.1661747
32,60,0,2,experiment,D1,25,0,43.1780051
32,60,0,3,experiment,D3,75,0,54.6754798
32,60,0,4,experiment,NO,,0,
32,60,0,4,experiment,NO,,0,
32,60,0,4,experiment,D5,100,1,56.1092173
32,60,0,4,experiment,D4,87,0,51.3653881
32,60,0,3,experiment,D2,33,0,40.5939869
32,60,0,3,experiment,D2,33,0,59.352709
34,45,1,2,training,NO,,0,
34,45,1,2,training,D2,50,0,
34,60,0,2,experiment,D2,50,0,56.4426182
34,60,0,4,experiment,D5,100,1,38.6768749
34,60,0,3,experiment,D3,75,0,
34,60,0,3,experiment,D2,33,0,54.9960033
34,60,0,4,experiment,D3,81,0,55.9889338
34,60,0,2,experiment,D0,0,0,58.6510353
34,60,0,3,experiment,D5,100,1,52.8772007
34,60,0,3,experiment,D5,100,1,48.5909913
34,60,0,2,experiment,D5,100,1,59.9209659
34,60,0,4,experiment,D3,81,0,57.9869386
34,60,0,4,experiment,D5,100,0,
34,60,0,2,experiment,D5,100,0,
34,60,0,3,experiment,D5,100,1,58.1577895
34,60,0,4,experiment,D5,100,1,40.5288771
34,60,0,3,experiment,D5,100,1,35.0820572
34,60,0,4,experiment,D5,100,1,55.9561966
34,60,0,2,experiment,D5,100,1,52.3010783
34,60,0,2,experiment,D5,100,1,55.0230677
35,45,1,2,training,D0,0,0,
35,45,1,2,training,D1,25,0,
35,60,0,4,experiment,D5,100,1,46.9088602
35,60,0,2,experiment,D0,0,0,56.7197899
35,60,0,4,experiment,D3,81,0,56.5356892
35,60,0,3,experiment,D5,100,1,44.7801373
35,60,0,2,experiment,D5,100,1,47.3780594
35,60,0,4,experiment,D1,12,0,53.2899831
35,60,0,2,experiment,D5,100,1,40.1037855
35,60,0,2,experiment,D5,100,1,55.5157047
35,60,0,2,experiment,D4,75,0,
35,60,0,4,experiment,D4,87,0,55.2822688
35,60,0,3,experiment,D5,100,1,57.6839833
35,60,0,4,experiment,D4,87,0,
35,60,0,3,experiment,D5,100,1,51.7473994
35,60,0,3,experiment,D5,100,1,55.2684721
35,60,0,3,experiment,D3,75,0,52.7724859
35,60,0,3,experiment,NO,,0,
35,60,0,4,experiment,D5,100,1,57.7639493
35,60,0,2,experiment,D4,75,0,37.2544925
36,45,1,2,training,D1,25,0,
36,45,1,2,training,D5,100,0,
36,60,0,3,experiment,D0,0,0,33.3720995
36,60,0,3,experiment,D1,16,0,33.9360088
36,60,0,4,experiment,D0,0,0,38.8670776
36,60,0,4,experiment,D0,0,0,57.1742915
36,60,0,4,experiment,D0,0,0,21.6491136
36,60,0,3,experiment,D0,0,0,34.2335889
36,60,0,2,experiment,D1,25,0,53.3770703
36,60,0,2,experiment,D1,25,0,51.2878083
36,60,0,4,experiment,D0,0,0,44.9402725
36,60,0,4,experiment,D0,0,0,47.0296923
36,60,0,2,experiment,D2,50,0,
36,60,0,3,experiment,D0,0,0,52.5077582
36,60,0,2,experiment,D1,25,0,28.6464924
36,60,0,2,experiment,D0,0,0,38.6804413
36,60,0,2,experiment,D0,0,0,14.9042049
36,60,0,4,experiment,D0,0,0,35.8005422
36,60,0,3,experiment,D0,0,0,22.1406456
36,60,0,3,experiment,D0,0,0,24.7031316
37,45,1,2,training,NO,,0,
37,45,1,2,training,D4,75,0,
37,60,0,2,experiment,D1,25,0,48.1170375
37,60,0,2,experiment,D4,75,0,37.0566273
37,60,0,3,experiment,NO,,0,
37,60,0,3,experiment,D0,0,0,19.6745806
